,Question,Answer.Value,Answer.GPT3
7721,In which Dickens' novel does lawyer Mr Jaggers appear?,Great Expectations,Mr Jaggers appears in Dickens' novel Great Expectations.
7732,Which charity was founded in London in 1961 following the publication of the article 'The Forgotten Prisoners' in 'The Observer'?,Amnesty International,Amnesty International
808,Which ‘A’ is a calculating frame with sliding balls on wires?,Abacus,The abacus is a calculating frame with sliding balls on wires.
10809,What was the name of Jimmy James' backing group?,Vagabonds,The Jimmy James and the Blue Flames
5324,Nimbus clouds have what characteristic?,They are dense with water and produce precipitation,"Nimbus clouds are characterized by their thick, fluffy appearance. They are often described as looking like cotton balls or marshmallows. Nimbus clouds are typically white or gray in color."
6323,"According to the Old Testament, who was the first person to have a hangover?",NOAH,The first person to have a hangover was Noah.
10824,"Known usually just as the Monument, or the name of a tube station. Who designed the Monument and for a bonus what does it commemorate?",Sir Christopher Wren to commemorate 'The Great Fire of London',The Monument was designed by Christopher Wren and Robert Hooke and commemorates the Great Fire of London.
1984,What term is used for a society of female students in an American college?,Sorority,A sorority.
3066,'The Umbrellas' is the work of which French impressionist?,Renoir,The Umbrellas is the work of French impressionist Pierre-Auguste Renoir.
6283,Astigmatism is a condition affecting which part of the body?,Eye,The eye
11096,"Legend has it that the Pied Piper led the children from what German town on July 22, 1376, when the cheap bastards wouldn't pay him for ridding the town of rats?",Hamelin,"The Pied Piper led the children from Hamelin, Germany on July 22, 1376."
6177,"What is the name of the semi-fluid, clarified butter used in Indian cookery?",Ghee,Ghee
6927,Which Gilbert and Sullivan operetta is sub titled 'Bunthornes's Bride'?,PATIENCE,The Mikado
1378,Which English Rugby Union team play their home games at Adams Park?,London Wasps,The English Rugby Union team that play their home games at Adams Park are called Wasps.
3664,Which artist was born in Bradford in 1937?,David Hockney,David Hockney
6856,"Willow, Reed, Grasshopper, and Dartford are species of which bird?",Warblers,"Willow, reed, grasshopper, and dartford are species of warbler."
7372,In which Verdi opera do the gypsies sing the 'Anvil Chorus'?,Il Trovatore,Il trovatore
8552,Who scored the only goal when Everton defeated Manchester United in the 1995 FA Cup Final?,PAUL RIDEOUT,Eric Cantona
9195,Which 'nursery rhyme' was originally a satire on political instability during thereign of Charles II?,'ROCK-A-BYE BABY',"The nursery rhyme ""The Grand Old Duke of York"" was originally a satire on political instability during the reign of Charles II."
2227,“And in the end you wind up dying all alone on some dusty street. For what? For a tin,HIGH NOON," star.”

“What’s wrong with a tin star?”

“What’s wrong with a tin star?”

“It’s not worth dying for.”"
5620,What did St. George slay?,The Dragon,A dragon
2370,Which northern Duchies were questionable until the 1860s?,Schleswig-Holstein,The northern duchies of Schleswig and Holstein were questionable until the 1860s.
8725,"""Which classic poem's first line is """"A thing of beauty is a joy forever""""?""",ENDYMION (Keats),"John Keats' poem ""Endymion"""
5887,Which US comic superhero has the real name Steve Rogers?,Captain America,Captain America
4447,Lee Kuan Yew and Goh Chok Tong were the first two Prime Ministers of which country?,The Republic of Singapore,Singapore
3969,"Which peninsula has the Mediterranean Sea to the south, the Aegean Sea to the west and the Black Sea to the north, and is separated from Europe by the Dardanelles and the Bosphorus?",Asia Minor,The peninsula is Turkey.
4169,"Who married Sarah Hugill in 1972, had two children, divorced in 1983, married Sarah Brightman in 1984, divorced in 1990, married Madeleine Gurdon in 1991, and had three children?",Andrew Lloyd Webber,Andrew Lloyd Webber
6205,For which conductor was the NBC Symphony orchestra created in 1937?,ARTURO TOSCANINI,Arturo Toscanini
3773,What is the name of the first digital library founded by Michael Hart in 1971?,Project Gutenberg,The name of the first digital library founded by Michael Hart in 1971 is Project Gutenberg.
4409,"Canadian Florence Nightingale Graham dropped out of nursing school in Toronto and joined her elder brother in New York City, working as a bookkeeper for the E.R. Squibb Pharmaceuticals Company. By what name is she better known?",Elizabeth Arden,Evelyn Lauder
7869,In Spain which fruit is called a melocoton?,PEACH,"In Spain, the fruit known as a peach in English is called a melocotón."
3311,"What medical word refers to an inflamed throat, from the Greek word for throat?",Pharyngitis,Pharyngitis
4722,Who was the legless World War II fighter pilot who was detained in German prisoner of war camps for 4 years?,Douglas Bader,Eugene Plaster
9010,From where on 4th October 1957 was the first man- made satellite launched into space?,"BAIKONUR KOSMODROME, KAZIKSTAN",The first man-made satellite was launched into space from the Baikonur Cosmodrome in Kazakhstan.
8678,The A2 connects London to which other town or city?,DOVER,Canterbury
4313,"John Calvin, 16th century French theologian, was the autocrat of which city for 13 years, where he improved the city and provided harsh punishments for moral transgressions?",Geneva,"Geneva, Switzerland"
1956,What type of food or drink is a macchiato?,COFFEE,A macchiato is a coffee with a small amount of steamed milk.
3049,'The Battle of Trafalgar' is the work of which British painter?,Joseph Turner,J. M. W. Turner
1604,"In medicine, Daltonism (or deuteranopia) is better known by what name?",Colour-blindness,Red-green color blindness.
4947,In June 2009 American neuroscientist Dr Gary Arendash claimed to have evidence that drinking a few cups of coffee a day could prevent or reverse the effects of what?,Alzheimer's disease,Alzheimer's disease.
4728,"Which American carnivorous mammal feeds by night, habitually dipping its prey into water before eating?",Racoon,The American carnivorous mammal that feeds by night and habitually dips its prey into water before eating is the otter.
10414,In the Inspector Morse series what is the christian name of Sergeant Lewis' wife,Valerie,"In the Inspector Morse series, Sergeant Lewis' wife is called Jean."
4124,"Who was the first man sent into space, in 1961?",Yuri Gagarin,The first man sent into space was Yuri Gagarin.
5040,When were the first Winter Paralympics held?,1976,The first Winter Paralympics were held in 1976.
5745,"""Who was the male half of """"Bennifer""""?""",Ben Affleck,Ben Affleck
2674,Symphony number 104 by Joseph Haydn and symphony number 2 by Ralph Vaughan Williams are both named after which European capital city?,LONDON,Vienna
824,Cristina Fernandez de Kirchner became President of which South American country in December 2007?,Argentina,Argentina
11254,"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press,Meet the Press
10685,What is the usual colour of an aircrafts Black Box?,Orange,The usual colour of an aircrafts black box is orange.
6899,What was the value of the former British coin the groat?,FOUR (OLD) PENCE,4 pence
4178,"In art, what is the term used for the process of producing an effect by means of dots or small marks with brush or pencil?",Stipple,The term used for the process of producing an effect by means of dots or small marks with brush or pencil is called stippling.
1291,Who wrote the 1866 novel ‘Crime and Punishment’?,Fyodor Dostoyevsky,Fyodor Dostoevsky
2876,"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?",THE MANTLE,The mantle.
509,How many runs did Donald Bradman score in his last ever test match innings?,None,Donald Bradman scored 30 runs in his last ever test match innings.
10744,Which British impresario was noted for his productions of Gilbert and Sullivan operettas?,Richard D'Oyly Carte,D'Oyly Carte
1421,"On a map of the London Underground, what colour is the Northern Line?",Black,The Northern Line is coloured black on the London Underground map.
4567,Goliath is the name for a South American spider that eats what?,Birds,"Goliath spiders are known to eat frogs, lizards, and small mammals."
2184,Which US property tycoon bought Turnberry Golf Course in April?,DONALD TRUMP,Donald Trump
1105,"In the human body, what is stored in adipose tissue?",Fat,Adipose tissue stores fat in the human body.
6588,Which city was known as Edo before assuming its current name in 1868?,Tokyo,Tokyo
9142,'Oscar' winning actress Angelina Jolie is the daughter of which actor?,JOHN VOIGHT,Jon Voight
4274,"The borders of which European country, that were set under the reign of Afonso III (1248 to 1279), are the same today?",Portugal,Portugal
898,"In 1951, which European country saw the abdication of King Leopold lll in favour of his son Baudouin?",Belgium,Belgium
1551,Mount Entoto is the highest peak overlooking which African capital city?,Addis Ababa,"Addis Ababa, Ethiopia"
2141,Under what name did Bernard Schwartz (1925 to 2010) find fame as a film star?,TONY CURTIS,Tony Curtis
6039,In which Cumbrian town is there a pencil museum?,Keswick,The pencil museum is located in Keswick.
1128,What type of leaves does a koala feed on?,Eucalyptus,Eucalyptus leaves
5809,"""Which female, former TV newsreader, was the first presenter of the TV programme, """"Top Gear""""?""",ANGELA RIPPON,"The first presenter of the TV programme, ""Top Gear"" was Angela Rippon."
11296,"Flight 19, consisting of 5 TBM Avenger torpedo bombers disappeared on December 5, 1945, a presumptive victim of The Bermuda Triangle. Name the 3 points that mark the boundaries of the triangle.","miami, puerto rico, and bermuda","The Bermuda Triangle is a region in the western part of the North Atlantic Ocean. It is defined by the triangular area between the points of Bermuda, Florida, and Puerto Rico."
2527,Which sportsmen wear the ‘baggy green’?,Australian Cricketers,Australian cricketers
7374,How many symphonies did Jean Sibelius compose?,Seven,Sibelius composed seven symphonies.
10438,"Which female American actress, and singer had a hit in 1991 with From a Distance",Bette Midler,Betty Buckley
5602,Which type of animal represents the Republican Party?,Elephant,The elephant is the animal most associated with the Republican Party.
7477,Which millionaire introduced a free school milk programme in Chicago to combat rickets?,AL CAPONE,"Former President of the United States, Theodore Roosevelt"
8023,"In 2014, how did Anglesey Sea Salt and West Country Beef and Lamb join Jersey Royal Potatoes and Isle of Man Queenies amongst others?",Gained EU protected status,They were all given Protected Geographical Indication (PGI) status by the European Commission.
2544,"In Greek mythology, which race of giants had a single eye in the middle of their foreheads?",CYCLOPS,The race of giants known as the Cyclopes had a single eye in the middle of their foreheads.
6105,In law what term translates from the Latin meaning 'elsewhere'?,Alibi,"The term ""aliunde"" translates from the Latin meaning ""elsewhere."""
